,Open,High,Low,Close,Adj Close,Volume
2024-10-28,244.64,259.5,242.77,255.34,255.34,23181974
2024-10-29,264.25,267.89,251.24,258.24,258.24,25958545
2024-10-30,246.5,255.8,239.0,247.31,247.31,20593324
2024-10-31,251.12,252.88,237.0,244.5,244.5,21954122
2024-11-01,245.33,255.75,225.93,229.71,229.71,26258857
2024-11-04,226.97,231.68,220.82,222.99,222.99,13438764
2024-11-05,233.34,243.4563,225.43,227.8,227.8,17993882
2024-11-06,260.0,261.2,242.69,257.81,257.81,26270427
2024-11-07,256.8,280.8007,252.7,270.81,270.81,23931687
2024-11-08,275.575,279.3799,262.6,270.42,270.42,18764220
2024-11-11,297.0,351.73,293.3,340.0,340.0,47315730
2024-11-12,334.77,360.89,325.5,356.59,356.59,39705753
2024-11-13,366.98,383.4,321.7,328.38,328.38,46238500
2024-11-14,341.77,348.0,318.62,327.67,327.67,26605694
2024-11-15,336.6,349.94,324.1,340.65,340.65,25841965
2024-11-18,345.415,388.4899,339.375,384.79,384.79,32745915
2024-11-19,389.5,449.0,381.0,430.54,430.54,50954502
2024-11-20,463.4,504.83,457.3024,473.83,473.83,70212633
2024-11-21,535.63,543.0,371.8401,397.28,397.28,100443991
2024-11-22,403.6,453.0,393.1,421.88,421.88,55935009
2024-11-25,440.75,440.75,383.8,403.45,403.45,40180421
2024-11-26,382.78,402.9999,338.6701,353.69,353.69,47891004
2024-11-27,384.29,397.66,372.5,388.84,388.84,34921206
2024-11-29,405.75,417.62,381.0,387.47,387.47,21987618
2024-12-02,393.64,398.7899,374.36,380.3,380.3,23404298
2024-12-03,367.85,393.1227,362.67,373.43,373.43,22817455
2024-12-04,380.0,409.97,365.6,406.0,406.0,29862186
2024-12-05,440.12,444.9447,379.35,386.4,386.4,46189812
2024-12-06,395.29,405.0,384.02,395.01,395.01,26206157
2024-12-09,394.0,399.8,363.44,365.34,365.34,22606091
2024-12-10,373.37,379.8,356.05,377.32,377.32,20139878
2024-12-11,385.66,412.6799,385.5,411.4,411.4,27594366
2024-12-12,413.71,415.8043,386.11,392.19,392.19,21074260
2024-12-13,400.07,409.71,388.88,408.67,408.67,21536882
2024-12-16,424.87,437.6099,406.455,408.5,408.5,31099439
2024-12-17,413.45,415.68,386.01,386.42,386.42,21821974
2024-12-18,386.0,390.32,338.0,349.64,349.64,24422921
2024-12-19,365.44,367.5,323.48,326.46,326.46,26922884
2024-12-20,319.37,364.88,317.0,364.2,364.2,44889882
2024-12-23,358.0,359.7411,329.08,332.23,332.23,21742486
2024-12-24,343.5,361.0,342.7,358.18,358.18,16377781
2024-12-26,350.305,351.7999,340.0,341.05,341.05,13295118
2024-12-27,342.3,342.705,323.2,330.0,330.0,13778471
2024-12-30,319.4,320.01,301.7489,302.96,302.96,25771230
2024-12-31,316.96,317.91,285.01,289.62,289.62,22486110
2025-01-02,300.11,310.8,292.315,300.01,300.01,17933875
2025-01-03,303.0,343.4,301.7663,339.66,339.66,25039041
2025-01-06,349.85,383.02,335.5,379.09,379.09,26707279
2025-01-07,366.47,371.28,335.3,341.425,341.425,24736771
